voucher,n_dets,taxa
TE2016_198,3,"Schoenus auritus, Schoenus auritus x cuspidatus, Schoenus cuspidatus"
Bruhl 2046,2,"Caustis blakei, Caustis blakei var. macrantha"
Muasya 4759,2,"Carpha capitellata, Carpha capitellata var. bracteosa"
TE2016_189,2,"Schoenus exilis, Schoenus ligulatus"
TE2016_196,2,"Schoenus quadangularis, Schoenus quadrangularis"
TE2016_206,2,"Schoenus gracilimus, Schoenus gracillimus"
TE2016_221,2,"Schoenus brunnescens, Schoenus cuspidatus"
TE2016_223,2,"Schoenus megacarpus, Schoenus submarginalis"
TE2016_235,2,"Schoenus cuspidatus, Schoenus galpinii"
TE2016_245,2,"Schoenus aureus, Schoenus auritus"
TE2016_253,2,"Schoenus cuspidatus, Schoenus loreus"
TE2016_255,2,"Schoenus cuspidatus, Schoenus graciliculmis"
TE2016_289,2,"Schoenus pictus, Schoenus selinae"
TE2016_290,2,"Schoenus pictus, Schoenus pseudoloreus"
TE2016_298,2,"Schoenus crassiculmis, Schoenus cuspidatus"
TE2016_300,2,"Schoenus selinae, Schoenus sp"
TE2016_317,2,"Schoenus bolusii, Schoenus bolusii x cuspidatus"
TE2016_321,2,"Schoenus crassus, Schoenus cuspidatus"
TE2016_322,2,"Schoenus brunnescens, Schoenus cuspidatus"
TE2016_333,2,"Schoenus compar, Schoenus comparoides"
TE2016_335,2,"Schoenus cuspidatus, Schoenus submarginalis"
Verboom 1144,2,"Schoenus adnatus, Schoenus adnatus c.f."
Verboom 1228,2,"Gahnia trifida, Gahnia tristis"
Verboom 636,2,"Schoenus gracilimus, Schoenus gracillimus"
Verboom 733,2,"Tetraria capillacea, Tetraria flexuosa"
XZ24,2,"Cyanthochaeta diandra, Cyathochaeta diandra"
